Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
Carlo Abate,Italy,"[1962, 1963]",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1960,0.0,0.0,0.0,0.0,0.0,0.0,2,False
George Abecassis,UK,"[1951, 1952]",0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,,1950,0.0,1.0,0.0,0.0,0.0,0.0,2,False
Kenny Acheson,United Kingdom,"[1983, 1985]",0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,False,,1980,0.0,0.3,0.0,0.0,0.0,0.0,2,False
Andrea de Adamich,Italy,"[1968, 1970, 1971, 1972, 1973]",0.0,36.0,30.0,0.0,0.0,0.0,0.0,6.0,False,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Philippe Adams,Belgium,[1994],0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,,1990,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Walt Ader,united states,[1950],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,,1950,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Kurt Adolff,West Germany,[1953],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,,1950,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Fred Agabashian,United States,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957]",0.0,9.0,8.0,1.0,0.0,0.0,0.0,1.5,False,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Kurt Ahrens Jr.,West Germany,"[1966, 1967, 1968, 1969]",0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,False,,1970,0.0,1.0,0.0,0.0,0.0,0.0,4,False
Jack Aitken,United Kingdom,[2020],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,,2020,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Christijan Albers,Netherlands,"[2005, 2006, 2007]",0.0,46.0,46.0,0.0,0.0,0.0,0.0,4.0,False,,2010,0.0,1.0,0.0,0.0,0.0,0.0869565217391304,3,False
Alexander Albon,Thailand,"[2019, 2020, 2022]",0.0,61.0,60.0,0.0,0.0,2.0,0.0,202.0,True,,2020,0.0,0.9836065573770492,0.0,0.0327868852459016,0.0,3.3114754098360657,3,False
Michele Alboreto,Italy,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994]",0.0,215.0,194.0,2.0,5.0,23.0,5.0,186.5,False,,1990,0.0093023255813953,0.9023255813953488,0.0232558139534883,0.1069767441860465,0.0232558139534883,0.8674418604651163,14,False
Jean Alesi,France,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",0.0,202.0,201.0,2.0,1.0,32.0,4.0,241.0,False,,2000,0.0099009900990099,0.995049504950495,0.0049504950495049,0.1584158415841584,0.0198019801980198,1.193069306930693,13,False
Jaime Alguersuari,Spain,"[2009, 2010, 2011]",0.0,46.0,46.0,0.0,0.0,0.0,0.0,31.0,False,,2010,0.0,1.0,0.0,0.0,0.0,0.6739130434782609,3,False
Philippe Alliot,France,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1993, 1994]",0.0,116.0,109.0,0.0,0.0,0.0,0.0,7.0,False,,1990,0.0,0.9396551724137931,0.0,0.0,0.0,0.0603448275862069,9,False
Cliff Allison,United Kingdom,"[1958, 1959, 1960, 1961]",0.0,18.0,16.0,0.0,0.0,1.0,0.0,11.0,False,,1960,0.0,0.8888888888888888,0.0,0.0555555555555555,0.0,0.6111111111111112,4,False
Fernando Alonso,Spain,"[2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2021, 2022]",2.0,359.0,356.0,22.0,32.0,99.0,23.0,2076.0,True,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
Giovanna Amati,Italy,[1992],0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1990,0.0,0.0,0.0,0.0,0.0,0.0,1,False
George Amick,United States,[1958],0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,False,,1960,0.0,0.5,0.0,0.5,0.0,3.0,1,False
